name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер технической поддержки,55000.0,,RUR,Санкт-Петербург,2022-12-05T11:12:55+0300
Инженер по тестированию и технической поддержке,,80000.0,RUR,Санкт-Петербург,2022-12-05T10:00:17+0300
Токарь 5-6 разряда,70000.0,,RUR,Пермь,2022-12-05T11:01:46+0300
Журналист/корреспондент,35000.0,45000.0,RUR,Тюмень,2022-12-05T07:12:14+0300
Программист 1С,50000.0,80000.0,RUR,Красноярск,2022-12-05T06:41:02+0300
Главный эксперт,92100.0,,RUR,Екатеринбург,2022-12-05T07:17:22+0300
Инженер по сервисному обслуживанию банковского оборудования,75000.0,,RUR,Химки,2022-12-05T11:57:20+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,65000.0,,RUR,Москва,2022-12-05T11:57:03+0300
Главный механик,150000.0,180000.0,RUR,Нижневартовск,2022-12-05T08:23:21+0300
"Инженер по ремонту мобильных телефонов, планшетов, ноутбуков",50000.0,100000.0,RUR,Пермь,2022-12-05T06:12:44+0300
Инженер службы подключений в г. Суоярви,30000.0,,RUR,Суоярви,2022-12-05T10:49:47+0300
Специалист поддержки складских систем,90000.0,117000.0,RUR,Иркутск,2022-12-05T10:02:22+0300
Ведущий специалист отдела контроля качества,32000.0,,RUR,Кострома,2022-12-05T07:19:47+0300
Инженер-программист C/C++,50000.0,120000.0,RUR,Владивосток,2022-12-05T01:36:28+0300
Главный специалист по обеспечению безопасности объектов КИИ (Советский р-он),64900.0,64900.0,RUR,Нижний Новгород,2022-12-05T09:08:42+0300
Мастер по ремонту мелкой бытовой техники,30000.0,60000.0,RUR,Воронеж,2022-12-05T09:45:55+0300
Фрезеровщик-присадчик,30000.0,50000.0,RUR,Ставрополь,2022-12-05T11:10:14+0300
Инженер-монтажник LED,100000.0,150000.0,RUR,Москва,2022-12-05T08:48:48+0300
Руководитель транспортного цеха,50000.0,50000.0,RUR,Ребриха,2022-12-05T10:22:52+0300
Инженер-механик,,35000.0,RUR,Чита,2022-12-05T06:55:21+0300
Оператор наладчик станков с ЧПУ,80000.0,,RUR,Подольск (Московская область),2022-12-05T10:41:03+0300
Токарь-универсал,50000.0,65000.0,RUR,Иркутск,2022-12-05T05:44:11+0300
Монтажник РЭА и приборов,52200.0,,RUR,Пенза,2022-12-05T09:57:42+0300
Токарь-универсал 5 разряда,132000.0,147000.0,RUR,Иркутск,2022-12-05T08:42:14+0300
Консультант 1С ТОиР,75000.0,150000.0,RUR,Стерлитамак,2022-12-05T10:18:10+0300
Php программист | Full-Stack Web Developer (в офис),30000.0,80000.0,RUR,Санкт-Петербург,2022-12-05T10:08:30+0300
Инженер-программист 1С,30000.0,,RUR,Томск,2022-12-05T11:05:38+0300
